genre,anime_count,calc_date
Comedy,5546,2025-11-15
Action,3727,2025-11-15
Fantasy,3022,2025-11-15
Adventure,2722,2025-11-15
Sci-Fi,2452,2025-11-15
Drama,2407,2025-11-15
Shounen,1950,2025-11-15
Music,1890,2025-11-15
Romance,1872,2025-11-15
Slice of Life,1740,2025-11-15
Kids,1706,2025-11-15
School,1611,2025-11-15
Supernatural,1445,2025-11-15
Hentai,1397,2025-11-15
Mecha,1058,2025-11-15
Magic,1045,2025-11-15
Historical,991,2025-11-15
Seinen,809,2025-11-15
Ecchi,763,2025-11-15
Mystery,713,2025-11-15
Shoujo,680,2025-11-15
Sports,657,2025-11-15
Parody,596,2025-11-15
Super Power,581,2025-11-15
Military,561,2025-11-15
Demons,481,2025-11-15
Space,472,2025-11-15
Horror,450,2025-11-15
Dementia,423,2025-11-15
Harem,399,2025-11-15
Martial Arts,398,2025-11-15
Game,368,2025-11-15
Psychological,339,2025-11-15
Police,238,2025-11-15
Samurai,193,2025-11-15
Vampire,135,2025-11-15
Thriller,128,2025-11-15
Cars,106,2025-11-15
Shounen Ai,100,2025-11-15
Josei,97,2025-11-15
Shoujo Ai,79,2025-11-15
Yaoi,42,2025-11-15
Yuri,32,2025-11-15
