genre,anime_count
Comedy,5546
Action,3727
Fantasy,3022
Adventure,2722
Sci-Fi,2452
Drama,2407
Shounen,1950
Music,1890
Romance,1872
Slice of Life,1740
Kids,1706
School,1611
Supernatural,1445
Hentai,1397
Mecha,1058
Magic,1045
Historical,991
Seinen,809
Ecchi,763
Mystery,713
Shoujo,680
Sports,657
Parody,596
Super Power,581
Military,561
Demons,481
Space,472
Horror,450
Dementia,423
Harem,399
Martial Arts,398
Game,368
Psychological,339
Police,238
Samurai,193
Vampire,135
Thriller,128
Cars,106
Shounen Ai,100
Josei,97
Shoujo Ai,79
Yaoi,42
Yuri,32
